ledger_id,merchant_id,amount,currency,transaction_date,reference,entry_type
L000041,M018,2855.04,INR,2026-08-29,UTR-S000041,PAYMENT
L000042,M014,9514.35,INR,2026-08-29,UTR-S000042,PAYMENT
L000043,M013,3895.8,INR,2026-08-23,UTR-S000043,PAYMENT
L000044,M005,5442.77,INR,2026-08-27,UTR-S000044,PAYMENT
L000045,M003,8024.95,INR,2026-08-20,UTR-S000045,PAYMENT
L000046,M004,1702.65,INR,2026-08-30,UTR-S000046,PAYMENT
L000047,M006,8405.55,INR,2026-08-30,UTR-S000047,PAYMENT
L000048,M014,6353.8,INR,2026-08-21,UTR-S000048,PAYMENT
L000049,M013,4101.56,INR,2026-08-29,UTR-S000049,PAYMENT
L000050,M015,5648.16,INR,2026-08-24,UTR-S000050,PAYMENT
L000051,M018,9125.92,INR,2026-08-20,UTR-S000051,PAYMENT
L000052,M004,7248.25,INR,2026-08-28,UTR-S000052,PAYMENT
L000053,M009,8159.34,INR,2026-08-30,UTR-S000053,PAYMENT
L000054,M011,1269.7,INR,2026-08-24,UTR-S000054,PAYMENT
L000055,M014,1758.4,INR,2026-08-27,UTR-S000055,PAYMENT
L000056,M001,7671.68,INR,2026-08-24,UTR-S000056,PAYMENT
L000057,M017,8089.75,INR,2026-08-22,UTR-S000057,PAYMENT
L000058,M017,9669.59,INR,2026-08-21,UTR-S000058,PAYMENT
L000059,M010,8925.54,INR,2026-08-30,UTR-S000059,PAYMENT
L000060,M017,6485.51,INR,2026-08-23,UTR-S000060,PAYMENT
L000061,M005,4020.77,INR,2026-08-22,UTR-S000061,PAYMENT
L000062,M018,8264.49,INR,2026-08-28,UTR-S000062,PAYMENT
L000063,M001,6380.38,INR,2026-08-25,UTR-S000063,PAYMENT
L000064,M016,304.22,INR,2026-08-21,UTR-S000064,PAYMENT
L000065,M012,9314.06,INR,2026-08-24,UTR-S000065,PAYMENT
L000066,M008,707.38,INR,2026-08-23,UTR-S000066,PAYMENT
L000067,M019,925.82,INR,2026-08-21,UTR-S000067,PAYMENT
L000068,M016,8656.62,INR,2026-08-21,UTR-S000068,PAYMENT
L000069,M018,8130.35,INR,2026-08-22,UTR-S000069,PAYMENT
L000070,M005,7017.98,INR,2026-08-27,UTR-S000070,PAYMENT
L000071,M018,1831.48,INR,2026-08-24,UTR-S000071,PAYMENT
L000072,M017,9248.12,INR,2026-08-29,UTR-S000072,PAYMENT
L000073,M014,2320.86,INR,2026-08-28,UTR-S000073,PAYMENT
L000074,M007,7575.81,INR,2026-08-24,UTR-S000074,PAYMENT
L000075,M013,7143.14,INR,2026-08-30,UTR-S000075,PAYMENT
L000076,M012,4693.81,INR,2026-08-28,UTR-S000076,PAYMENT
L000077,M015,1368.82,INR,2026-08-23,UTR-S000077,PAYMENT
L000078,M008,771.36,INR,2026-08-25,UTR-S000078,PAYMENT
L000079,M001,6268.86,INR,2026-08-28,UTR-S000079,PAYMENT
L000080,M008,6270.24,INR,2026-08-23,UTR-S000080,PAYMENT
L000081,M001,844.41,INR,2026-08-30,UTR-S000081,PAYMENT
L000082,M002,2500.62,INR,2026-08-21,UTR-S000082,PAYMENT
L000083,M002,9113.93,INR,2026-08-25,UTR-S000083,PAYMENT
L000084,M003,5491.31,INR,2026-08-23,UTR-S000084,PAYMENT
L000085,M009,7114.74,INR,2026-08-27,UTR-S000085,PAYMENT
L000086,M007,5754.27,INR,2026-08-22,UTR-S000086,PAYMENT
L000087,M019,6142.01,INR,2026-08-27,UTR-S000087,PAYMENT
L000088,M008,8327.33,INR,2026-08-27,UTR-S000088,PAYMENT
L000089,M014,2096.59,INR,2026-08-21,UTR-S000089,PAYMENT
L000090,M004,7009.93,INR,2026-08-26,UTR-S000090,PAYMENT
L000091,M012,4541.54,INR,2026-08-26,UTR-S000091,PAYMENT
L000092,M015,9157.98,INR,2026-08-20,UTR-S000092,PAYMENT
L000093,M004,735.56,INR,2026-08-26,UTR-S000093,PAYMENT
L000094,M011,8494.82,INR,2026-08-21,UTR-S000094,PAYMENT
L000095,M008,2108.96,INR,2026-08-23,UTR-S000095,PAYMENT
L000096,M018,4804.05,INR,2026-08-22,UTR-S000096,PAYMENT
L000097,M014,2024.01,INR,2026-08-24,UTR-S000097,PAYMENT
L000098,M015,2719.41,INR,2026-08-21,UTR-S000098,PAYMENT
L000099,M015,8572.72,INR,2026-08-28,UTR-S000099,PAYMENT
L000100,M004,630.45,INR,2026-08-30,UTR-S000100,PAYMENT
L000101,M018,8866.36,INR,2026-08-20,UTR-S000101,PAYMENT
L000102,M003,9813.64,INR,2026-08-23,UTR-S000102,PAYMENT
L000103,M006,4361.54,INR,2026-08-27,UTR-S000103,PAYMENT
L000104,M016,2341.28,INR,2026-08-26,UTR-S000104,PAYMENT
L000105,M002,1826.32,INR,2026-08-26,UTR-S000105,PAYMENT
L000106,M001,4193.84,INR,2026-08-24,UTR-S000106,PAYMENT
L000107,M015,3091.03,INR,2026-08-26,UTR-S000107,PAYMENT
L000108,M018,7040.20,INR,2026-08-27,UTR-S000108,PAYMENT
L000109,M005,2091.20,INR,2026-08-24,UTR-S000109,PAYMENT
L000110,M007,713.22,INR,2026-08-29,UTR-S000110,PAYMENT
L000111,M018,739.16,INR,2026-08-25,UTR-S000111,PAYMENT
L000112,M002,625.76,INR,2026-08-29,UTR-S000112,PAYMENT
L000113,M016,5372.74,INR,2026-08-28,UTR-S000113,PAYMENT
L000114,M006,696.40,INR,2026-08-28,UTR-S000114,PAYMENT
L000115,M003,9026.95,INR,2026-08-22,UTR-S000115,PAYMENT
L000116,M003,6339.37,INR,2026-08-21,UTR-S000116,PAYMENT
L000117,M008,4333.87,INR,2026-08-21,UTR-S000117,PAYMENT
L000118,M019,2681.73,INR,2026-08-29,UTR-S000118,PAYMENT
L000119,M020,516.70,INR,2026-08-29,UTR-S000119,PAYMENT
L000120,M003,4495.87,INR,2026-08-30,UTR-S000120,PAYMENT
L000121,M019,6026.81,INR,2026-08-28,UTR-S000121,PAYMENT
L000122,M011,9901.08,INR,2026-08-24,UTR-S000122,PAYMENT
L000123,M007,7122.56,INR,2026-08-25,UTR-S000123,PAYMENT
L000124,M008,2885.15,INR,2026-08-26,UTR-S000124,PAYMENT
L000125,M005,7143.16,INR,2026-08-30,UTR-S000125,PAYMENT
L000126,M010,4894.32,INR,2026-08-25,UTR-S000126,PAYMENT
L000127,M003,197.65,INR,2026-08-27,UTR-S000127,PAYMENT
L000128,M020,6003.39,INR,2026-08-21,UTR-S000128,PAYMENT
L000129,M003,5737.48,INR,2026-08-23,UTR-S000129,PAYMENT
L000130,M017,2880.80,INR,2026-08-22,UTR-S000130,PAYMENT
L000131,M012,9336.51,INR,2026-08-21,UTR-S000131,PAYMENT
L000132,M008,3974.75,INR,2026-08-24,UTR-S000132,PAYMENT
L000133,M006,4694.67,INR,2026-08-28,UTR-S000133,PAYMENT
L000134,M010,6513.88,INR,2026-08-30,UTR-S000134,PAYMENT
L000135,M017,182.01,INR,2026-08-30,UTR-S000135,PAYMENT
L000136,M018,3239.19,INR,2026-08-30,UTR-S000136,PAYMENT
L000137,M004,9945.37,INR,2026-08-22,UTR-S000137,PAYMENT
L000138,M009,1310.33,INR,2026-08-21,UTR-S000138,PAYMENT
L000139,M018,1729.96,INR,2026-08-24,UTR-S000139,PAYMENT
L000140,M010,6442.08,INR,2026-08-23,UTR-S000140,PAYMENT
L000141,M011,2234.87,INR,2026-09-01,UTR-S000141,PAYMENT
L000142,M009,5399.59,INR,2026-08-29,UTR-S000142,PAYMENT
L000143,M009,9593.14,INR,2026-08-22,UTR-S000143,PAYMENT
L000144,M003,6750.95,INR,2026-08-28,UTR-S000144,PAYMENT
L000145,M009,562.28,INR,2026-08-22,UTR-S000145,PAYMENT
L000146,M011,8185.77,INR,2026-08-24,UTR-S000146,PAYMENT
L000147,M009,1794.3,INR,2026-08-29,UTR-S000147,PAYMENT
L000148,M018,7499.45,INR,2026-08-28,UTR-S000148,PAYMENT
L000149,M018,201.39,INR,2026-08-23,UTR-S000149,PAYMENT
L000150,M003,9360.04,INR,2026-08-24,UTR-S000150,PAYMENT
L000151,M018,477.78,INR,2026-08-27,UTR-S000151,PAYMENT
L000152,M019,5893.64,INR,2026-08-24,UTR-S000152,PAYMENT
L000153,M014,1436.36,INR,2026-08-22,UTR-S000153,PAYMENT
L000154,M010,3923.64,INR,2026-08-22,UTR-S000154,PAYMENT
L000155,M012,2302.81,INR,2026-09-01,UTR-S000155,PAYMENT
L000156,M008,7093.3,INR,2026-08-23,UTR-S000156,PAYMENT
L000157,M012,8280.11,INR,2026-08-30,UTR-S000157,PAYMENT
L000158,M014,6608.1,INR,2026-08-24,UTR-S000158,PAYMENT
L000159,M008,9166.04,INR,2026-08-24,UTR-S000159,PAYMENT
L000160,M006,9342.31,INR,2026-08-28,UTR-S000160,PAYMENT
L000161,M001,1980.73,INR,2026-08-27,UTR-S000161,PAYMENT
L000162,M014,8512.04,INR,2026-09-01,UTR-S000162,PAYMENT
L000163,M008,2897.66,INR,2026-08-24,UTR-S000163,PAYMENT
L000164,M004,4111.24,INR,2026-08-22,UTR-S000164,PAYMENT
L000165,M016,2432.38,INR,2026-08-25,UTR-S000165,PAYMENT
L000166,M015,3766.43,INR,2026-08-26,UTR-S000166,PAYMENT
L000167,M008,2437.52,INR,2026-08-22,UTR-S000167,PAYMENT
L000168,M007,4278.21,INR,2026-08-27,UTR-S000168,PAYMENT
L000169,M009,9163.39,INR,2026-08-23,UTR-S000169,PAYMENT
L000170,M009,3782.03,INR,2026-09-01,UTR-S000170,PAYMENT
L000171,M017,4290.93,INR,2026-09-01,UTR-S000171,PAYMENT
L000172,M018,3572.35,INR,2026-08-22,UTR-S000172,PAYMENT
L000173,M004,9296.41,INR,2026-08-26,UTR-S000173,PAYMENT
L000174,M006,6187.92,INR,2026-08-26,UTR-S000174,PAYMENT
L000175,M002,1236.68,INR,2026-08-31,UTR-S000175,PAYMENT
L000176,M014,3724.79,INR,2026-08-27,UTR-S000176,PAYMENT
L000177,M014,6456.56,INR,2026-08-30,UTR-S000177,PAYMENT
L000178,M004,4139.06,INR,2026-08-31,UTR-S000178,PAYMENT
L000179,M007,2770.95,INR,2026-08-22,UTR-S000179,PAYMENT
L000180,M014,117.73,INR,2026-08-30,UTR-S000180,PAYMENT
L000181,M018,7302.21,INR,2026-08-30,,PAYMENT
L000182,M007,3919.13,INR,2026-08-26,,PAYMENT
L000183,M003,7065.03,INR,2026-08-25,,PAYMENT
L000184,M020,3391.64,INR,2026-08-30,,PAYMENT
L000185,M004,7647.17,INR,2026-08-24,,PAYMENT
L000186,M017,3343.08,INR,2026-08-30,,PAYMENT
L000187,M014,3520.27,INR,2026-08-26,,PAYMENT
L000188,M010,5913.43,INR,2026-08-22,,PAYMENT
L000189,M007,4508.69,INR,2026-08-30,,PAYMENT
L000190,M013,7202.19,INR,2026-08-22,,PAYMENT
L000191,M020,6067.5,INR,2026-08-24,,PAYMENT
L000192,M013,5845.53,INR,2026-08-20,,PAYMENT
L000193,M010,3108.5,INR,2026-08-23,,PAYMENT
L000194,M014,8339.27,INR,2026-08-29,,PAYMENT
L000195,M020,6965.08,INR,2026-08-25,,PAYMENT
L000196,M015,4732.46,INR,2026-08-27,,PAYMENT
L000197,M007,5460.04,INR,2026-08-27,,PAYMENT
L000198,M006,7008.55,INR,2026-08-21,,PAYMENT
L000199,M010,5504.9,INR,2026-08-30,,PAYMENT
L000200,M020,3614.7,INR,2026-08-21,,PAYMENT
L000201,M008,7154.77,INR,2026-08-24,,PAYMENT
L000202,M008,8557.42,INR,2026-08-23,,PAYMENT
L000203,M005,356.11,INR,2026-08-20,,PAYMENT
L000204,M008,5082.16,INR,2026-08-29,,PAYMENT
L000205,M003,4875.38,INR,2026-08-26,,PAYMENT
L000206,M019,2138.8,INR,2026-08-26,,PAYMENT
L000207,M016,4290.66,INR,2026-08-23,,PAYMENT
L000208,M005,6979.26,INR,2026-08-20,,PAYMENT
L000209,M004,8262.32,INR,2026-08-26,,PAYMENT
L000210,M008,1944.3,INR,2026-08-28,,PAYMENT
L000211,M015,626.57,INR,2026-08-28,,PAYMENT
L000212,M008,9720.37,INR,2026-08-21,,PAYMENT
L000213,M015,1498.16,INR,2026-08-27,,PAYMENT
L000214,M017,5960.75,INR,2026-08-29,,PAYMENT
L000215,M011,8019.37,INR,2026-08-27,,PAYMENT
L000216,M020,8645.96,INR,2026-08-28,,PAYMENT
L000217,M014,8809.14,INR,2026-08-28,,PAYMENT
L000218,M015,9507.9,INR,2026-08-22,,PAYMENT
L000219,M016,4819.32,INR,2026-08-24,,PAYMENT
L000220,M008,8906.6,INR,2026-08-30,,PAYMENT
L000221,M009,8130.13,INR,2026-08-28,UTR-S000221,PAYMENT
L000222,M009,8130.13,INR,2026-08-28,UTR-S000221,PAYMENT
L000223,M016,6671.93,INR,2026-08-23,UTR-S000222,PAYMENT
L000224,M016,6671.93,INR,2026-08-23,UTR-S000222,PAYMENT
L000225,M009,4712.39,INR,2026-08-21,UTR-S000223,PAYMENT
L000226,M009,4712.39,INR,2026-08-21,UTR-S000223,PAYMENT
L000227,M010,2558.84,INR,2026-08-24,UTR-S000224,PAYMENT
L000228,M010,2558.84,INR,2026-08-24,UTR-S000224,PAYMENT
L000229,M011,3452.39,INR,2026-08-28,UTR-S000225,PAYMENT
L000230,M011,3452.39,INR,2026-08-28,UTR-S000225,PAYMENT
L000231,M003,1550.95,INR,2026-08-22,UTR-S000226,PAYMENT
L000232,M003,1550.95,INR,2026-08-22,UTR-S000226,PAYMENT
L000233,M008,4116.41,INR,2026-08-22,UTR-S000227,PAYMENT
L000234,M008,4116.41,INR,2026-08-22,UTR-S000227,PAYMENT
L000235,M007,773.48,INR,2026-08-26,UTR-S000228,PAYMENT
L000236,M007,773.48,INR,2026-08-26,UTR-S000228,PAYMENT
L000237,M014,3569.54,INR,2026-08-28,UTR-S000229,PAYMENT
L000238,M014,3569.54,INR,2026-08-28,UTR-S000229,PAYMENT
L000239,M015,4459.7,INR,2026-08-20,UTR-S000230,PAYMENT
L000240,M015,4459.7,INR,2026-08-20,UTR-S000230,PAYMENT
L000241,M007,8833.49,INR,2026-08-26,UTR-S000231,PAYMENT
L000242,M007,8833.49,INR,2026-08-26,UTR-S000231,PAYMENT
L000243,M013,9587.91,INR,2026-08-29,UTR-S000232,PAYMENT
L000244,M013,9587.91,INR,2026-08-29,UTR-S000232,PAYMENT
L000245,M001,9083.48,INR,2026-08-29,UTR-S000233,PAYMENT
L000246,M001,9083.48,INR,2026-08-29,UTR-S000233,PAYMENT
L000247,M013,5101.49,INR,2026-08-20,UTR-S000234,PAYMENT
L000248,M013,5101.49,INR,2026-08-20,UTR-S000234,PAYMENT
L000249,M012,3231.18,INR,2026-08-26,UTR-S000235,PAYMENT
L000250,M012,3231.18,INR,2026-08-26,UTR-S000235,PAYMENT
L000251,M014,5743.65,INR,2026-08-28,UTR-S000236,PAYMENT
L000252,M014,5743.65,INR,2026-08-28,UTR-S000236,PAYMENT
L000253,M020,9514.23,INR,2026-08-23,UTR-S000237,PAYMENT
L000254,M020,9514.23,INR,2026-08-23,UTR-S000237,PAYMENT
L000255,M016,2400.8,INR,2026-08-24,UTR-S000238,PAYMENT
L000256,M016,2400.8,INR,2026-08-24,UTR-S000238,PAYMENT
L000257,M014,5192.32,INR,2026-08-20,UTR-S000239,PAYMENT
L000258,M014,5192.32,INR,2026-08-20,UTR-S000239,PAYMENT
L000259,M013,3624.57,INR,2026-08-30,UTR-S000240,PAYMENT
L000260,M013,3624.57,INR,2026-08-30,UTR-S000240,PAYMENT
L000261,M013,7693.59,INR,2026-08-22,UTR-S000241,PAYMENT
L000262,M013,7693.59,INR,2026-08-22,UTR-S000241,PAYMENT
L000263,M015,9742.09,INR,2026-08-22,UTR-S000242,PAYMENT
L000264,M015,9742.09,INR,2026-08-22,UTR-S000242,PAYMENT
L000265,M020,5700.69,INR,2026-08-20,UTR-S000243,PAYMENT
L000266,M020,5700.69,INR,2026-08-20,UTR-S000243,PAYMENT
L000267,M013,6306.44,INR,2026-08-29,UTR-S000244,PAYMENT
L000268,M013,6306.44,INR,2026-08-29,UTR-S000244,PAYMENT
L000269,M001,980.25,INR,2026-08-30,UTR-S000245,PAYMENT
L000270,M001,980.25,INR,2026-08-30,UTR-S000245,PAYMENT
L000271,M014,1522.91,INR,2026-08-27,UTR-S000246,PAYMENT
L000272,M014,1522.91,INR,2026-08-27,UTR-S000246,PAYMENT
L000273,M006,627.27,INR,2026-08-24,UTR-S000247,PAYMENT
L000274,M006,627.27,INR,2026-08-24,UTR-S000247,PAYMENT
L000275,M013,3532.54,INR,2026-08-23,UTR-S000248,PAYMENT
L000276,M013,3532.54,INR,2026-08-23,UTR-S000248,PAYMENT
L000277,M015,3527.22,INR,2026-08-25,UTR-S000249,PAYMENT
L000278,M015,3527.22,INR,2026-08-25,UTR-S000249,PAYMENT
L000279,M013,3017.73,INR,2026-08-26,UTR-S000250,PAYMENT
L000280,M013,3017.73,INR,2026-08-26,UTR-S000250,PAYMENT
L000281,M009,8854.67,INR,2026-08-21,UTR-S000251,PAYMENT
L000282,M009,8854.67,INR,2026-08-21,UTR-S000251,PAYMENT
L000283,M016,303.24,INR,2026-08-28,UTR-S000252,PAYMENT
L000284,M016,303.24,INR,2026-08-28,UTR-S000252,PAYMENT
L000285,M002,3769.6,INR,2026-08-23,UTR-S000253,PAYMENT
L000286,M002,3769.6,INR,2026-08-23,UTR-S000253,PAYMENT
L000287,M003,8291.82,INR,2026-08-30,UTR-S000254,PAYMENT
L000288,M003,8291.82,INR,2026-08-30,UTR-S000254,PAYMENT
L000289,M002,8008.7,INR,2026-08-20,UTR-S000255,PAYMENT
L000290,M002,8008.7,INR,2026-08-20,UTR-S000255,PAYMENT
L000291,M008,2190.44,INR,2026-08-29,UTR-S000256,PAYMENT
L000292,M008,3.34,INR,2026-08-30,UTR-S000256-REFUND,REFUND
L000293,M005,2601.32,INR,2026-08-27,UTR-S000257,PAYMENT
L000294,M005,20.69,INR,2026-08-28,UTR-S000257-REFUND,REFUND
L000295,M004,6013.64,INR,2026-08-27,UTR-S000258,PAYMENT
L000296,M004,35.72,INR,2026-08-28,UTR-S000258-REFUND,REFUND
L000297,M009,8141.5,INR,2026-08-22,UTR-S000259,PAYMENT
L000298,M009,60.44,INR,2026-08-23,UTR-S000259-REFUND,REFUND
L000299,M020,6467.45,INR,2026-08-22,UTR-S000260,PAYMENT
L000300,M020,18.77,INR,2026-08-23,UTR-S000260-REFUND,REFUND
L000301,M010,1233.49,INR,2026-08-20,UTR-S000261,PAYMENT
L000302,M010,94.82,INR,2026-08-21,UTR-S000261-REFUND,REFUND
L000303,M010,6137.66,INR,2026-08-26,UTR-S000262,PAYMENT
L000304,M010,61.5,INR,2026-08-27,UTR-S000262-REFUND,REFUND
L000305,M007,896.88,INR,2026-08-30,UTR-S000263,PAYMENT
L000306,M007,97.01,INR,2026-08-31,UTR-S000263-REFUND,REFUND
L000307,M008,1168.51,INR,2026-08-30,UTR-S000264,PAYMENT
L000308,M008,49.42,INR,2026-08-31,UTR-S000264-REFUND,REFUND
L000309,M020,8546.57,INR,2026-08-29,UTR-S000265,PAYMENT
L000310,M020,19.84,INR,2026-08-30,UTR-S000265-REFUND,REFUND
L000311,M002,3740.69,INR,2026-08-26,UTR-S000266,PAYMENT
L000312,M002,87.29,INR,2026-08-27,UTR-S000266-REFUND,REFUND
L000313,M012,823.06,INR,2026-08-30,UTR-S000267,PAYMENT
L000314,M012,82.9,INR,2026-08-31,UTR-S000267-REFUND,REFUND
L000315,M011,232.66,INR,2026-08-27,UTR-S000268,PAYMENT
L000316,M011,68.83,INR,2026-08-28,UTR-S000268-REFUND,REFUND
L000317,M004,4645.82,INR,2026-08-30,UTR-S000269,PAYMENT
L000318,M004,59.35,INR,2026-08-31,UTR-S000269-REFUND,REFUND
L000319,M015,7516.66,INR,2026-08-26,UTR-S000270,PAYMENT
L000320,M015,25.07,INR,2026-08-27,UTR-S000270-REFUND,REFUND
L000321,M006,7794.4,INR,2026-08-30,UTR-S000271,PAYMENT
L000322,M006,85.49,INR,2026-08-31,UTR-S000271-REFUND,REFUND
L000323,M009,6558.3,INR,2026-08-27,UTR-S000272,PAYMENT
L000324,M009,88.18,INR,2026-08-28,UTR-S000272-REFUND,REFUND
L000325,M015,4667.32,INR,2026-08-24,UTR-S000273,PAYMENT
L000326,M015,97.08,INR,2026-08-25,UTR-S000273-REFUND,REFUND
L000327,M011,9030.85,INR,2026-08-21,UTR-S000274,PAYMENT
L000328,M011,40.23,INR,2026-08-22,UTR-S000274-REFUND,REFUND
L000329,M009,9344.57,INR,2026-08-23,UTR-S000275,PAYMENT
L000330,M009,73.86,INR,2026-08-24,UTR-S000275-REFUND,REFUND
L000331,M015,6075.3,INR,2026-08-30,UTR-S000276,PAYMENT
L000332,M015,100,INR,2026-08-31,UTR-S000276-REFUND,REFUND
L000333,M013,3627.37,INR,2026-08-27,UTR-S000277,PAYMENT
L000334,M013,4.71,INR,2026-08-28,UTR-S000277-REFUND,REFUND
L000335,M011,2006.72,INR,2026-08-23,UTR-S000278,PAYMENT
L000336,M011,79.89,INR,2026-08-24,UTR-S000278-REFUND,REFUND
L000337,M012,8465.87,INR,2026-08-25,UTR-S000279,PAYMENT
L000338,M012,42.33,INR,2026-08-26,UTR-S000279-REFUND,REFUND
L000339,M009,9330.82,INR,2026-08-24,UTR-S000280,PAYMENT
L000340,M009,97.68,INR,2026-08-25,UTR-S000280-REFUND,REFUND
L000341,M018,206.44,INR,2026-08-23,UTR-S000281,PAYMENT
L000342,M018,84.65,INR,2026-08-24,UTR-S000281-REFUND,REFUND
L000343,M003,2630.8,INR,2026-08-27,UTR-S000282,PAYMENT
L000344,M003,66.59,INR,2026-08-28,UTR-S000282-REFUND,REFUND
L000345,M018,8049.93,INR,2026-08-27,UTR-S000283,PAYMENT
L000346,M018,39.38,INR,2026-08-28,UTR-S000283-REFUND,REFUND
L000347,M016,4799.45,INR,2026-08-21,UTR-S000284,PAYMENT
L000348,M016,2.83,INR,2026-08-22,UTR-S000284-REFUND,REFUND
L000349,M010,2423.6,INR,2026-08-23,UTR-S000285,PAYMENT
L000350,M010,66.26,INR,2026-08-24,UTR-S000285-REFUND,REFUND
L000352,M010,7062.12,INR,2026-08-28,,PAYMENT
L000351,M010,7062.12,INR,2026-08-29,,PAYMENT
L000353,M010,7062.12,INR,2026-08-30,,PAYMENT
L000355,M012,5062.49,INR,2026-08-27,,PAYMENT
L000354,M012,5062.49,INR,2026-08-28,,PAYMENT
L000356,M012,5062.49,INR,2026-08-29,,PAYMENT
L000358,M017,3704.55,INR,2026-08-25,,PAYMENT
L000357,M017,3704.55,INR,2026-08-26,,PAYMENT
L000359,M017,3704.55,INR,2026-08-27,,PAYMENT
L000361,M018,3568.59,INR,2026-08-24,,PAYMENT
L000360,M018,3568.59,INR,2026-08-25,,PAYMENT
L000362,M018,3568.59,INR,2026-08-26,,PAYMENT
L000364,M015,2940.76,INR,2026-08-23,,PAYMENT
L000363,M015,2940.76,INR,2026-08-24,,PAYMENT
L000365,M015,2940.76,INR,2026-08-25,,PAYMENT
L000367,M009,2517.36,INR,2026-08-20,,PAYMENT
L000366,M009,2517.36,INR,2026-08-21,,PAYMENT
L000368,M009,2517.36,INR,2026-08-22,,PAYMENT
L000370,M007,3408.76,INR,2026-08-20,,PAYMENT
L000369,M007,3408.76,INR,2026-08-21,,PAYMENT
L000371,M007,3408.76,INR,2026-08-22,,PAYMENT
L000373,M018,8092.13,INR,2026-08-21,,PAYMENT
L000372,M018,8092.13,INR,2026-08-22,,PAYMENT
L000374,M018,8092.13,INR,2026-08-23,,PAYMENT
L000376,M007,2368.95,INR,2026-08-26,,PAYMENT
L000375,M007,2368.95,INR,2026-08-27,,PAYMENT
L000377,M007,2368.95,INR,2026-08-28,,PAYMENT
L000379,M009,7697.82,INR,2026-08-28,,PAYMENT
L000378,M009,7697.82,INR,2026-08-29,,PAYMENT
L000380,M009,7697.82,INR,2026-08-30,,PAYMENT
L000382,M017,6357.8,INR,2026-08-23,,PAYMENT
L000381,M017,6357.8,INR,2026-08-24,,PAYMENT
L000383,M017,6357.8,INR,2026-08-25,,PAYMENT
L000385,M004,8830.74,INR,2026-08-22,,PAYMENT
L000384,M004,8830.74,INR,2026-08-23,,PAYMENT
L000386,M004,8830.74,INR,2026-08-24,,PAYMENT
L000388,M010,2485.33,INR,2026-08-24,,PAYMENT
L000387,M010,2485.33,INR,2026-08-25,,PAYMENT
L000389,M010,2485.33,INR,2026-08-26,,PAYMENT
L000391,M006,3269.5,INR,2026-08-19,,PAYMENT
L000390,M006,3269.5,INR,2026-08-20,,PAYMENT
