settlement_id,merchant_id,amount,currency,settlement_date,reference
S000082,M002,2500.62,INR,2026-08-21,UTR-S000082
S000083,M002,9113.93,INR,2026-08-25,UTR-S000083
S000084,M003,5491.31,INR,2026-08-23,UTR-S000084
S000085,M009,7114.74,INR,2026-08-27,UTR-S000085
S000086,M007,5754.27,INR,2026-08-22,UTR-S000086
S000087,M019,6142.01,INR,2026-08-27,UTR-S000087
S000088,M008,8327.33,INR,2026-08-27,UTR-S000088
S000089,M014,2096.59,INR,2026-08-21,UTR-S000089
S000090,M004,7009.93,INR,2026-08-26,UTR-S000090
S000091,M012,4541.54,INR,2026-08-26,UTR-S000091
S000092,M015,9157.98,INR,2026-08-20,UTR-S000092
S000093,M004,735.56,INR,2026-08-26,UTR-S000093
S000094,M011,8494.82,INR,2026-08-21,UTR-S000094
S000095,M008,2108.96,INR,2026-08-23,UTR-S000095
S000096,M018,4804.05,INR,2026-08-22,UTR-S000096
S000097,M014,2024.01,INR,2026-08-24,UTR-S000097
S000098,M015,2719.41,INR,2026-08-21,UTR-S000098
S000099,M015,8572.72,INR,2026-08-28,UTR-S000099
S000100,M004,630.45,INR,2026-08-30,UTR-S000100
S000101,M018,8866.38,INR,2026-08-20,UTR-S000101
S000102,M003,9813.66,INR,2026-08-23,UTR-S000102
S000103,M006,4361.56,INR,2026-08-27,UTR-S000103
S000104,M016,2341.3,INR,2026-08-26,UTR-S000104
S000105,M002,1826.34,INR,2026-08-26,UTR-S000105
S000106,M001,4193.86,INR,2026-08-24,UTR-S000106
S000107,M015,3091.05,INR,2026-08-26,UTR-S000107
S000108,M018,7040.22,INR,2026-08-27,UTR-S000108
S000109,M005,2091.22,INR,2026-08-24,UTR-S000109
S000110,M007,713.24,INR,2026-08-29,UTR-S000110
S000111,M018,739.18,INR,2026-08-25,UTR-S000111
S000112,M002,625.78,INR,2026-08-29,UTR-S000112
S000113,M016,5372.76,INR,2026-08-28,UTR-S000113
S000114,M006,696.42,INR,2026-08-28,UTR-S000114
S000115,M003,9026.97,INR,2026-08-22,UTR-S000115
S000116,M003,6339.39,INR,2026-08-21,UTR-S000116
S000117,M008,4333.89,INR,2026-08-21,UTR-S000117
S000118,M019,2681.75,INR,2026-08-29,UTR-S000118
S000119,M020,516.72,INR,2026-08-29,UTR-S000119
S000120,M003,4495.89,INR,2026-08-30,UTR-S000120
S000121,M019,6026.83,INR,2026-08-28,UTR-S000121
S000122,M011,9901.1,INR,2026-08-24,UTR-S000122
S000123,M007,7122.58,INR,2026-08-25,UTR-S000123
S000124,M008,2885.17,INR,2026-08-26,UTR-S000124
S000125,M005,7143.18,INR,2026-08-30,UTR-S000125
S000126,M010,4894.34,INR,2026-08-25,UTR-S000126
S000127,M003,197.67,INR,2026-08-27,UTR-S000127
S000128,M020,6003.41,INR,2026-08-21,UTR-S000128
S000129,M003,5737.5,INR,2026-08-23,UTR-S000129
S000130,M017,2880.82,INR,2026-08-22,UTR-S000130
S000131,M012,9336.53,INR,2026-08-21,UTR-S000131
S000132,M008,3974.77,INR,2026-08-24,UTR-S000132
S000133,M006,4694.69,INR,2026-08-28,UTR-S000133
S000134,M010,6513.9,INR,2026-08-30,UTR-S000134
S000135,M017,182.03,INR,2026-08-30,UTR-S000135
S000136,M018,3239.21,INR,2026-08-30,UTR-S000136
S000137,M004,9945.39,INR,2026-08-22,UTR-S000137
S000138,M009,1310.35,INR,2026-08-21,UTR-S000138
S000139,M018,1729.98,INR,2026-08-24,UTR-S000139
S000140,M010,6442.1,INR,2026-08-23,UTR-S000140
S000141,M011,2234.87,INR,2026-08-30,UTR-S000141
S000142,M009,5399.59,INR,2026-08-27,UTR-S000142
S000143,M009,9593.14,INR,2026-08-20,UTR-S000143
S000144,M003,6750.95,INR,2026-08-26,UTR-S000144
S000145,M009,562.28,INR,2026-08-20,UTR-S000145
S000146,M011,8185.77,INR,2026-08-22,UTR-S000146
S000147,M009,1794.3,INR,2026-08-27,UTR-S000147
S000148,M018,7499.45,INR,2026-08-26,UTR-S000148
S000149,M018,201.39,INR,2026-08-21,UTR-S000149
S000150,M003,9360.04,INR,2026-08-22,UTR-S000150
S000151,M018,477.78,INR,2026-08-25,UTR-S000151
S000152,M019,5893.64,INR,2026-08-22,UTR-S000152
S000153,M014,1436.36,INR,2026-08-20,UTR-S000153
S000154,M010,3923.64,INR,2026-08-20,UTR-S000154
S000155,M012,2302.81,INR,2026-08-30,UTR-S000155
S000156,M008,7093.3,INR,2026-08-21,UTR-S000156
S000157,M012,8280.11,INR,2026-08-28,UTR-S000157
S000158,M014,6608.1,INR,2026-08-22,UTR-S000158
S000159,M008,9166.04,INR,2026-08-22,UTR-S000159
S000160,M006,9342.31,INR,2026-08-26,UTR-S000160
S000161,M001,1980.73,INR,2026-08-25,UTR-S000161
S000162,M014,8512.04,INR,2026-08-30,UTR-S000162
S000163,M008,2897.66,INR,2026-08-22,UTR-S000163
S000164,M004,4111.24,INR,2026-08-20,UTR-S000164
S000165,M016,2432.38,INR,2026-08-23,UTR-S000165
S000166,M015,3766.43,INR,2026-08-24,UTR-S000166
S000167,M008,2437.52,INR,2026-08-20,UTR-S000167
S000168,M007,4278.21,INR,2026-08-25,UTR-S000168
S000169,M009,9163.39,INR,2026-08-21,UTR-S000169
S000170,M009,3782.03,INR,2026-08-30,UTR-S000170
S000171,M017,4290.93,INR,2026-08-30,UTR-S000171
S000172,M018,3572.35,INR,2026-08-20,UTR-S000172
S000173,M004,9296.41,INR,2026-08-24,UTR-S000173
S000174,M006,6187.92,INR,2026-08-24,UTR-S000174
S000175,M002,1236.68,INR,2026-08-29,UTR-S000175
S000176,M014,3724.79,INR,2026-08-25,UTR-S000176
S000177,M014,6456.56,INR,2026-08-28,UTR-S000177
S000178,M004,4139.06,INR,2026-08-29,UTR-S000178
S000179,M007,2770.95,INR,2026-08-20,UTR-S000179
S000180,M014,117.73,INR,2026-08-28,UTR-S000180
S000181,M018,7302.21,INR,2026-08-30,
S000182,M007,3919.13,INR,2026-08-26,
S000183,M003,7065.03,INR,2026-08-25,
S000184,M020,3391.64,INR,2026-08-30,
S000185,M004,7647.17,INR,2026-08-24,
S000186,M017,3343.08,INR,2026-08-30,
S000187,M014,3520.27,INR,2026-08-26,
S000188,M010,5913.43,INR,2026-08-22,
S000189,M007,4508.69,INR,2026-08-30,
S000190,M013,7202.19,INR,2026-08-22,
S000191,M020,6067.5,INR,2026-08-24,
S000192,M013,5845.53,INR,2026-08-20,
S000193,M010,3108.5,INR,2026-08-23,
S000194,M014,8339.27,INR,2026-08-29,
S000195,M020,6965.08,INR,2026-08-25,
S000196,M015,4732.46,INR,2026-08-27,
S000197,M007,5460.04,INR,2026-08-27,
S000198,M006,7008.55,INR,2026-08-21,
S000199,M010,5504.9,INR,2026-08-30,
S000200,M020,3614.7,INR,2026-08-21,
S000201,M008,7154.77,INR,2026-08-24,
S000202,M008,8557.42,INR,2026-08-23,
S000203,M005,356.11,INR,2026-08-20,
S000204,M008,5082.16,INR,2026-08-29,
S000205,M003,4875.38,INR,2026-08-26,
S000206,M019,2138.8,INR,2026-08-26,
S000207,M016,4290.66,INR,2026-08-23,
S000208,M005,6979.26,INR,2026-08-20,
S000209,M004,8262.32,INR,2026-08-26,
S000210,M008,1944.3,INR,2026-08-28,
S000211,M015,626.57,INR,2026-08-28,
S000212,M008,9720.37,INR,2026-08-21,
S000213,M015,1498.16,INR,2026-08-27,
S000214,M017,5960.75,INR,2026-08-29,
S000215,M011,8019.37,INR,2026-08-27,
S000216,M020,8645.96,INR,2026-08-28,
S000217,M014,8809.14,INR,2026-08-28,
S000218,M015,9507.9,INR,2026-08-22,
S000219,M016,4819.32,INR,2026-08-24,
S000220,M008,8906.6,INR,2026-08-30,
S000221,M009,8130.13,INR,2026-08-28,UTR-S000221
S000222,M016,6671.93,INR,2026-08-23,UTR-S000222
S000223,M009,4712.39,INR,2026-08-21,UTR-S000223
S000224,M010,2558.84,INR,2026-08-24,UTR-S000224
S000225,M011,3452.39,INR,2026-08-28,UTR-S000225
S000226,M003,1550.95,INR,2026-08-22,UTR-S000226
S000227,M008,4116.41,INR,2026-08-22,UTR-S000227
S000228,M007,773.48,INR,2026-08-26,UTR-S000228
S000229,M014,3569.54,INR,2026-08-28,UTR-S000229
S000230,M015,4459.7,INR,2026-08-20,UTR-S000230
S000231,M007,8833.49,INR,2026-08-26,UTR-S000231
S000232,M013,9587.91,INR,2026-08-29,UTR-S000232
S000233,M001,9083.48,INR,2026-08-29,UTR-S000233
S000234,M013,5101.49,INR,2026-08-20,UTR-S000234
S000235,M012,3231.18,INR,2026-08-26,UTR-S000235
S000236,M014,5743.65,INR,2026-08-28,UTR-S000236
S000237,M020,9514.23,INR,2026-08-23,UTR-S000237
S000238,M016,2400.8,INR,2026-08-24,UTR-S000238
S000239,M014,5192.32,INR,2026-08-20,UTR-S000239
S000240,M013,3624.57,INR,2026-08-30,UTR-S000240
S000241,M013,7693.59,INR,2026-08-22,UTR-S000241
S000242,M015,9742.09,INR,2026-08-22,UTR-S000242
S000243,M020,5700.69,INR,2026-08-20,UTR-S000243
S000244,M013,6306.44,INR,2026-08-29,UTR-S000244
S000245,M001,980.25,INR,2026-08-30,UTR-S000245
S000246,M014,1522.91,INR,2026-08-27,UTR-S000246
S000247,M006,627.27,INR,2026-08-24,UTR-S000247
S000248,M013,3532.54,INR,2026-08-23,UTR-S000248
S000249,M015,3527.22,INR,2026-08-25,UTR-S000249
S000250,M013,3017.73,INR,2026-08-26,UTR-S000250
S000251,M009,8854.67,INR,2026-08-21,UTR-S000251
S000252,M016,303.24,INR,2026-08-28,UTR-S000252
S000253,M002,3769.6,INR,2026-08-23,UTR-S000253
S000254,M003,8291.82,INR,2026-08-30,UTR-S000254
S000255,M002,8008.7,INR,2026-08-20,UTR-S000255
S000256,M008,2187.10,INR,2026-08-29,UTR-S000256
S000257,M005,2580.63,INR,2026-08-27,UTR-S000257
S000258,M004,5977.92,INR,2026-08-27,UTR-S000258
S000259,M009,8081.06,INR,2026-08-22,UTR-S000259
S000260,M020,6448.68,INR,2026-08-22,UTR-S000260
S000261,M010,1138.67,INR,2026-08-20,UTR-S000261
S000262,M010,6076.16,INR,2026-08-26,UTR-S000262
S000263,M007,799.87,INR,2026-08-30,UTR-S000263
S000264,M008,1119.09,INR,2026-08-30,UTR-S000264
S000265,M020,8526.73,INR,2026-08-29,UTR-S000265
S000266,M002,3653.40,INR,2026-08-26,UTR-S000266
S000267,M012,740.16,INR,2026-08-30,UTR-S000267
S000268,M011,163.83,INR,2026-08-27,UTR-S000268
S000269,M004,4586.47,INR,2026-08-30,UTR-S000269
S000270,M015,7491.59,INR,2026-08-26,UTR-S000270
S000271,M006,7708.91,INR,2026-08-30,UTR-S000271
S000272,M009,6470.12,INR,2026-08-27,UTR-S000272
S000273,M015,4570.24,INR,2026-08-24,UTR-S000273
S000274,M011,8990.62,INR,2026-08-21,UTR-S000274
S000275,M009,9270.71,INR,2026-08-23,UTR-S000275
S000276,M015,5975.3,INR,2026-08-30,UTR-S000276
S000277,M013,3622.66,INR,2026-08-27,UTR-S000277
S000278,M011,1926.83,INR,2026-08-23,UTR-S000278
S000279,M012,8423.54,INR,2026-08-25,UTR-S000279
S000280,M009,9233.14,INR,2026-08-24,UTR-S000280
S000281,M018,121.79,INR,2026-08-23,UTR-S000281
S000282,M003,2564.21,INR,2026-08-27,UTR-S000282
S000283,M018,8010.55,INR,2026-08-27,UTR-S000283
S000284,M016,4796.62,INR,2026-08-21,UTR-S000284
S000285,M010,2357.34,INR,2026-08-23,UTR-S000285
S000286,M010,7062.12,INR,2026-08-29,
S000287,M012,5062.49,INR,2026-08-28,
S000288,M017,3704.55,INR,2026-08-26,
S000289,M018,3568.59,INR,2026-08-25,
S000290,M015,2940.76,INR,2026-08-24,
S000291,M009,2517.36,INR,2026-08-21,
S000292,M007,3408.76,INR,2026-08-21,
S000293,M018,8092.13,INR,2026-08-22,
S000294,M007,2368.95,INR,2026-08-27,
S000295,M009,7697.82,INR,2026-08-29,
S000296,M017,6357.8,INR,2026-08-24,
S000297,M004,8830.74,INR,2026-08-23,
S000298,M010,2485.33,INR,2026-08-25,
S000299,M006,3269.5,INR,2026-08-20,
S000300,M018,1427.31,INR,2026-08-24,
S000301,M002,671.74,INR,2026-08-28,
S000302,M010,7412.95,INR,2026-08-22,
S000303,M016,1175.7,INR,2026-08-20,
S000304,M019,3081.51,INR,2026-08-27,
S000305,M016,4718.65,INR,2026-08-25,
S000306,M006,638.72,INR,2026-08-24,
S000307,M016,1296.29,INR,2026-08-21,
S000308,M013,5256.33,INR,2026-08-21,
S000309,M019,6700.21,INR,2026-08-30,
S000310,M002,1690.97,INR,2026-08-22,
S000311,M019,3285.94,INR,2026-08-21,
S000312,M008,1342.05,INR,2026-08-28,
S000313,M014,6457.7,INR,2026-08-29,
S000314,M020,2466.5,INR,2026-08-28,
S000315,M013,4823.98,INR,2026-08-27,
S000316,M010,9119.5,INR,2026-08-29,
S000317,M014,3302.14,INR,2026-08-29,
S000318,M020,731.56,INR,2026-08-29,
S000319,M004,8097.87,INR,2026-08-23,
S000320,M007,2875.01,INR,2026-08-30,
S000321,M003,2615.16,INR,2026-08-22,UTR-S000321
S000322,M018,1741.36,INR,2026-08-20,UTR-S000322
S000323,M014,7328.58,INR,2026-08-29,UTR-S000323
S000324,M016,442.25,INR,2026-08-23,UTR-S000324
S000325,M010,846.37,INR,2026-08-30,UTR-S000325
S000326,M008,8360.97,INR,2026-08-30,UTR-S000326
S000327,M019,4557.9,INR,2026-08-21,UTR-S000327
S000328,M018,6890.94,INR,2026-08-22,UTR-S000328
S000329,M009,848.78,INR,2026-08-20,UTR-S000329
S000330,M006,6339.48,INR,2026-08-29,UTR-S000330
S000331,M010,1403.94,INR,2026-08-27,UTR-S000331
S000332,M010,9984.67,INR,2026-08-24,UTR-S000332
S000333,M017,5277.81,INR,2026-08-27,UTR-S000333
S000334,M003,517.97,INR,2026-08-26,UTR-S000334
S000335,M011,2725.29,INR,2026-08-20,UTR-S000335
S000336,M003,7170.53,INR,2026-08-29,UTR-S000336
S000337,M019,8119.09,INR,2026-08-30,UTR-S000337
S000338,M009,521.85,INR,2026-08-22,UTR-S000338
S000339,M016,6931.57,INR,2026-08-27,UTR-S000339
S000340,M009,6237.62,INR,2026-08-26,UTR-S000340
S000341,M016,5028.41,INR,2026-08-25,UTR-S000341
S000342,M014,3466.53,INR,2026-08-30,UTR-S000342
S000343,M004,3558.24,INR,2026-08-26,UTR-S000343
S000344,M016,7047.69,INR,2026-08-26,UTR-S000344
S000345,M018,4869.19,INR,2026-08-21,UTR-S000345
S000346,M011,3489.77,INR,2026-08-21,UTR-S000346
S000347,M013,8749.98,INR,2026-08-20,UTR-S000347
S000348,M018,4433.21,INR,2026-08-20,UTR-S000348
S000349,M007,3893.53,INR,2026-08-29,UTR-S000349
S000350,M016,8069.07,INR,2026-08-20,UTR-S000350
S000351,M007,2900.28,INR,2026-08-28,UTR-S000351
S000352,M005,9827.35,INR,2026-08-24,UTR-S000352
S000353,M015,9336.34,INR,2026-08-27,UTR-S000353
S000354,M004,402.71,INR,2026-08-30,UTR-S000354
S000355,M020,8481.41,INR,2026-08-23,UTR-S000355
S000356,M006,3358.45,INR,2026-08-28,UTR-S000356
S000357,M001,5890.77,INR,2026-08-26,UTR-S000357
S000358,M003,2456.15,INR,2026-08-21,UTR-S000358
S000359,M015,1331.72,INR,2026-08-30,UTR-S000359
S000360,M005,5325.84,INR,2026-08-24,UTR-S000360
S000361,M017,7496.77,INR,2026-08-24,UTR-S000361
S000362,M014,8852.71,INR,2026-08-27,UTR-S000362
S000363,M016,2655.7,INR,2026-08-27,UTR-S000363
S000364,M018,1616.68,INR,2026-08-26,UTR-S000364
S000365,M007,9766.48,INR,2026-08-29,UTR-S000365
S000366,M017,7925.44,INR,2026-08-22,UTR-S000366
S000367,M003,2996.66,INR,2026-08-26,UTR-S000367
S000368,M011,9896.3,INR,2026-08-28,UTR-S000368
S000369,M009,8704.08,INR,2026-08-20,UTR-S000369
S000370,M010,7713.19,INR,2026-08-24,UTR-S000370
S000371,M019,6180.93,INR,2026-08-30,UTR-S000371
S000372,M016,9172.91,INR,2026-08-22,UTR-S000372
S000373,M015,5747.42,INR,2026-08-27,UTR-S000373
S000374,M012,3585.88,INR,2026-08-28,UTR-S000374
S000375,M018,4055.33,INR,2026-08-27,UTR-S000375
S000376,M011,9218.43,INR,2026-08-23,UTR-S000376
S000377,M008,6095.73,INR,2026-08-26,UTR-S000377
S000378,M008,9075.94,INR,2026-08-26,UTR-S000378
S000379,M002,3436.32,INR,2026-08-27,UTR-S000379
S000380,M013,4148.32,INR,2026-08-30,UTR-S000380
S000381,M005,5293.89,INR,2026-08-20,UTR-S000381
S000382,M005,5366.9,INR,2026-08-29,UTR-S000382
S000383,M011,9219.46,INR,2026-08-21,UTR-S000383
S000384,M015,1145.55,INR,2026-08-28,UTR-S000384
S000385,M015,260.93,INR,2026-08-22,UTR-S000385
S000386,M014,9232.39,INR,2026-08-30,UTR-S000386
S000387,M005,884.63,INR,2026-08-27,UTR-S000387
S000388,M009,3650.07,INR,2026-08-29,UTR-S000388
S000389,M013,6914.03,INR,2026-08-21,UTR-S000389
S000390,M011,9037.44,INR,2026-08-30,UTR-S000390
S000391,M018,4084.68,INR,2026-08-25,UTR-S000391
S000392,M016,9247.59,INR,2026-08-28,UTR-S000392
S000393,M002,6574.53,INR,2026-08-21,UTR-S000393
S000394,M008,6718.2,INR,2026-08-30,UTR-S000394
S000395,M010,2485.36,INR,2026-08-21,UTR-S000395
S000396,M014,1132.25,INR,2026-08-30,UTR-S000396
S000397,M004,4752.3,INR,2026-08-22,UTR-S000397
S000398,M010,9573.08,INR,2026-08-20,UTR-S000398
S000399,M002,3501.31,INR,2026-08-20,UTR-S000399
S000400,M010,3858.76,INR,2026-08-25,UTR-S000400
